,AAPL.Adjusted,GOOGL.Adjusted,MSFT.Adjusted,AMZN.Adjusted,META.Adjusted,TSLA.Adjusted,JPM.Adjusted,V.Adjusted,JNJ.Adjusted,WMT.Adjusted
6/7/20,81.68753306,72.26833344,182.8949432,125.5186691,231.1899974,61.89999898,103.0104116,195.5373942,136.8001353,115.7744548
6/8/20,81.84789276,72.40200043,183.2711639,126.2030029,231.3999939,63.32799911,103.6867218,195.5341187,136.6356659,115.6726837
6/9/20,84.43249512,72.60399628,184.6722717,130.0429993,238.6699982,62.71133423,101.0271606,195.024704,135.8815918,115.7776413
6/10/20,86.60471344,73.23500061,191.522049,132.3724976,236.7299957,68.33666992,96.93268585,196.3961792,137.5945282,115.5963516
6/11/20,82.44680023,70.09500122,181.2376251,127.8980026,224.4299927,64.85600281,88.84430695,185.0325012,131.1430359,114.5754776
6/12/20,83.15859985,70.64600372,182.6679382,127.2509995,228.5800018,62.35200119,91.27539825,188.3436127,132.3346252,112.3333817
6/13/20,83.50141144,70.77633667,183.057134,127.7120005,229.8866679,63.58799998,91.69580332,188.1803538,132.0553436,112.4415181
6/14/20,83.84422302,70.90666962,183.4463298,128.1730016,231.1933339,64.82399877,92.11620839,188.0170949,131.776062,112.5496546
6/15/20,84.18703461,71.03700256,183.8355255,128.6340027,232.5,66.05999756,92.53661346,187.8538361,131.4967804,112.6577911
6/16/20,86.41818237,72.32350159,188.3403931,130.763504,235.6499939,65.47533417,93.27692413,188.9509583,134.4851685,114.1556854
6/17/20,86.2979126,72.6269989,188.9923096,132.048996,235.5299988,66.11933136,90.91896057,189.6171265,134.0755463,113.5641632
6/18/20,86.33227539,71.70600128,191.0161438,132.6990051,235.9400024,66.93066406,90.42543793,189.9599915,133.5076447,112.5719223
6/19/20,85.83892059,71.23200226,189.8777313,133.7505035,238.7899933,66.72666931,89.39266968,188.2848511,133.8986206,114.3464966
6/20/20,86.58754476,71.66566722,191.6355947,134.3973338,238.9333293,66.58044688,89.06974792,189.1861115,133.7620951,114.9284897
6/21/20,87.33616892,72.09933217,193.393458,135.044164,239.0766652,66.43422445,88.74682617,190.0873718,133.6255697,115.5104828
6/22/20,88.08479309,72.53299713,195.1513214,135.6909943,239.2200012,66.28800201,88.42390442,190.9886322,133.4890442,116.0924759
6/23/20,89.96495056,73.1989975,196.4551086,138.2205048,242.2400055,66.78533173,89.50233459,193.9373169,132.995636,115.5104828
6/24/20,88.37688446,71.63500214,192.4950256,136.7200012,234.0200043,64.05666351,86.5137558,187.5109253,130.1655426,114.7758408
6/25/20,89.55012512,72.05500031,194.9275055,137.7290039,235.6799927,65.73200226,89.52975464,190.0286102,130.0259094,114.2129364
6/26/20,86.79863739,68.1269989,191.0258484,134.6434937,216.0800018,63.98266602,84.62187958,185.4145355,128.294342,112.8867569
6/27/20,87.46544902,68.70416514,191.7101847,134.4353282,217.600001,65.08511098,84.74678802,186.1035461,128.6760305,113.1220983
6/28/20,88.13226064,69.28133138,192.3945211,134.2271627,219.1200002,66.18755595,84.87169647,186.7925568,129.0577189,113.3574397
6/29/20,88.79907227,69.85849762,193.0788574,134.0189972,220.6399994,67.29000092,84.99660492,187.4815674,129.4394073,113.5927811
6/30/20,89.54030609,70.90249634,198.0118713,137.9409943,227.0700073,71.98733521,85.96538544,189.2350616,130.9196167,114.2797165
7/1/20,89.37096405,72.09999847,199.1697388,143.9349976,237.5500031,74.64199829,85.23423004,189.8326416,130.6868896,114.1938477
7/2/20,89.37096405,73.49649811,200.687561,144.5149994,233.4199982,80.57733154,85.51108551,191.6841736,131.2361145,113.7359085
7/3/20,89.96863174,73.86799812,201.7675743,146.5992508,235.1349983,83.29266548,86.05095291,192.1960182,131.7039223,113.6595783
7/4/20,90.56629944,74.23949814,202.8475876,148.6835022,236.8499985,86.00799942,86.59082031,192.7078629,132.17173,113.5832481
7/5/20,91.16396713,74.61099815,203.9276009,150.7677536,238.5649986,88.72333336,87.13068771,193.2197075,132.6395378,113.506918
7/6/20,91.76163483,74.98249817,205.0076141,152.852005,240.2799988,91.4386673,87.67055511,193.7315521,133.1073456,113.4305878
7/7/20,91.47690582,74.4960022,202.6238098,150.0059967,240.8600006,92.65733337,85.19731903,190.2441101,132.9863281,121.1204987
7/8/20,93.6074295,75.18000031,207.0800629,154.0554962,243.5800018,91.05867004,86.10171509,191.0963898,133.3773193,118.7257309
7/9/20,94.00997925,75.93299866,208.5298462,159.1315002,244.5,92.95200348,84.23756409,188.2946625,132.6511993,121.8837433
7/10/20,94.17442322,76.95050049,207.8973846,160,245.0700073,102.9766693,88.84255219,188.6277161,132.5394592,124.6791992
7/11/20,94.02960459,76.50416819,205.7568258,158.399999,243.0466715,101.9191132,89.26707204,187.4750163,133.4207662,124.3102849
7/12/20,93.88478597,76.0578359,203.6162669,156.799998,241.0233358,100.861557,89.6915919,186.3223165,134.3020732,123.9413706
7/13/20,93.73996735,75.6115036,201.475708,155.1999969,239,99.80400085,90.11611176,185.1696167,135.1833801,123.5724564
7/14/20,95.29122162,76.04299927,202.7211304,154.1999969,239.7299957,101.1200027,90.63289642,189.3918457,137.7062378,125.9481354
7/15/20,95.94657135,75.84400177,202.4194641,150.4434967,240.2799988,103.0673294,92.03562927,192.5462494,138.0227661,125.9385834
7/16/20,94.76596069,75.7460022,198.4107819,149.9949951,240.9299927,100.0426636,92.29402924,189.5583954,138.9444122,126.1293793
7/17/20,94.57450104,75.84249878,197.3989105,148.0984955,242.0299988,100.0559998,90.58674622,191.1159515,139.0375214,125.6905212
7/18/20,95.238856,76.6256663,200.2270406,152.0129954,243.1599986,103.2151108,90.32219696,192.2196757,139.115097,125.6046499
7/19/20,95.90321096,77.40883382,203.0551707,155.9274953,244.2899984,106.3742218,90.05764771,193.3233999,139.1926727,125.5187785
7/20/20,96.56756592,78.19200134,205.8833008,159.8419952,245.4199982,109.5333328,89.79309845,194.427124,139.2702484,125.4329071
7/21/20,95.23475647,77.79599762,203.1103058,156.914505,241.75,104.5573349,91.7403183,192.4776611,139.400589,126.2534485
7/22/20,95.50230408,78.24250031,206.0292511,154.9954987,239.8699951,106.1553345,91.0758667,194.8091736,139.6519318,126.5682831
7/23/20,91.15538025,75.83750153,197.0680542,149.3274994,232.6000061,100.8713303,91.34349823,193.4083099,139.2795258,125.5951157
7/24/20,90.92956543,75.41049957,195.8615875,150.4454956,230.7100067,94.46666718,90.69750214,191.1747589,137.8924255,125.2134933
7/25/20,91.64791361,75.76416524,196.688619,151.2171631,231.6400045,97.19111125,90.27298991,191.7494659,137.6007284,125.2039439
7/26/20,92.3662618,76.11783091,197.5156504,151.9888306,232.5700022,99.91555532,89.84847768,192.324173,137.3090312,125.1943944
7/27/20,93.08460999,76.47149658,198.3426819,152.760498,233.5,102.6399994,89.42396545,192.89888,137.017334,125.184845
7/28/20,91.55547333,75.18250275,196.5621338,150.0164948,230.1199951,98.43267059,89.81156158,192.7323608,136.6914978,125.7095947
7/29/20,93.31043243,76.17549896,198.5470276,151.6764984,233.2899933,99.9406662,91.98949432,194.5348816,136.4215088,124.688736
7/30/20,94.43951416,76.91850281,198.3913269,152.5939941,234.5,99.16600037,89.53469849,190.1069489,136.7008057,124.1448822
7/31/20,104.3262405,74.39749908,199.4713135,158.2339935,253.6699982,95.38400269,89.18402863,186.5215149,135.6953888,123.4579697
8/1/20,105.2025045,74.31099955,203.2108154,157.3541616,253.100001,96.58933512,89.01791128,186.6162109,136.1887919,123.4261678
8/2/20,106.0787684,74.22450002,206.9503174,156.4743296,252.5300039,97.79466756,88.85179392,186.710907,136.682195,123.3943659
8/3/20,106.9550323,74.13800049,210.6898193,155.5944977,251.9600067,99,88.68567657,186.805603,137.1755981,123.3625641
8/4/20,107.669281,73.66500092,207.5276489,156.9414978,249.8300018,99.1333313,88.17812347,188.3730011,137.0545959,125.5951157
8/5/20,108.0595474,73.95449829,207.187088,160.2514954,249.1199951,99.00133514,89.71006012,192.1054077,138.1531067,123.8491364
8/6/20,111.8296585,75.24749756,210.5049744,161.25,265.2799988,99.305336,89.73773193,194.7210388,137.3617859,123.4102631
8/7/20,109.2871399,74.91850281,206.7395325,158.3730011,268.4400024,96.84733582,91.71264648,192.3601074,138.3392944,124.0017929
8/8/20,109.81663,74.89266968,205.3676249,158.0513357,266.6266683,96.08866882,92.10023499,192.5005188,138.1624095,124.60923
8/9/20,110.3461202,74.86683655,203.9957174,157.7296702,264.8133341,95.33000183,92.48782349,192.6409302,137.9855245,125.2166672
8/10/20,110.8756104,74.84100342,202.6238098,157.4080048,263,94.57133484,92.87541199,192.7813416,137.8086395,125.8241043
8/11/20,107.5781708,74.02700043,197.8853607,154.033493,256.1300049,91.62599945,95.81008148,193.7413788,136.8218384,124.2212219
8/12/20,111.1534576,75.36199951,203.5384369,158.1119995,259.8900146,103.6506653,94.99797821,194.6916504,139.3261108,125.8336258
8/13/20,113.1205978,75.83249664,203.0616302,158.0509949,261.2999878,108.0666656,94.47195435,193.8478546,137.7807312,126.3126373
8/14/20,113.0197906,75.23149872,203.2562408,157.401001,261.2399902,110.0473328,94.50887299,192.9256592,138.0041351,127.0311432
8/15/20,112.92143,75.42499797,203.7038116,157.9741669,261.213328,114.1568883,93.67830658,193.8380788,138.2368724,127.9891357
8/16/20,112.8230693,75.61849721,204.1513824,158.5473328,261.1866659,118.2664439,92.84774017,194.7504985,138.4696096,128.9471283
8/17/20,112.7247086,75.81199646,204.5989532,159.1204987,261.1600037,122.3759995,92.01717377,195.6629181,138.7023468,129.9051208
8/18/20,113.6640244,77.78900146,205.7762909,165.6244965,262.3399963,125.8059998,90.73440552,195.250824,139.7264099,129.0525055
8/19/20,113.8066406,77.23049927,204.5278625,163.0240021,262.5899963,125.2353363,90.94667053,197.1934662,140.0057068,126.8491058
8/20/20,116.3319626,78.8125,209.2874756,164.8684998,269.0100098,133.4553375,89.85770416,200.2937317,140.9645844,125.0863953
8/21/20,122.3268433,78.77850342,207.765976,164.2359924,267.0100098,136.665329,89.81156158,200.2741394,142.2120209,126.1018829
8/22/20,122.814532,78.93816884,207.9837952,164.6149953,268.4700114,135.8702189,90.65442912,201.0197856,142.3369853,126.0060832
8/23/20,123.3022207,79.09783427,208.2016144,164.9939982,269.930013,135.0751088,91.49729665,201.7654317,142.4619497,125.9102834
8/24/20,123.7899094,79.25749969,208.4194336,165.3730011,271.3900146,134.2799988,92.34016418,202.5110779,142.5869141,125.8144836
8/25/20,122.7743759,80.29250336,211.1308899,167.3244934,280.8200073,134.889328,92.74621582,204.1691742,142.5025787,125.1438675
8/26/20,124.4439697,82.20649719,215.6954651,172.0924988,303.9100037,143.5446625,91.44498444,206.2883606,142.727478,125.2109146
8/27/20,122.9563217,81.4260025,220.9915161,170,293.2200012,149.25,94.45348358,207.0437927,143.3647308,130.8918762
8/28/20,122.7571487,81.97149658,223.2640381,170.0899963,293.6600037,147.5599976,94.84108734,211.6354065,143.9832611,134.4077606
8/29/20,124.1448034,81.80649821,222.1651611,170.9093323,293.5066732,153.7422231,94.04743195,210.4188283,143.9114176,133.9447225
8/30/20,125.532458,81.64149984,221.0662842,171.7286682,293.3533427,159.9244486,93.25377655,209.2022502,143.8395742,133.4816844
